total_requests,slow_requests,E_pct,servers_on,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,avg_load_balance_cv,cycle,total_replicas,cumulative_energy_joule,server_utilization
422,239,56.63507109004739,10,57.686454030239894,224.26145877147567,450.01042549073657,229,54.2654028436019,6.731839551430265,11.098580002937167,20.710814529232103,23.78823739712686,0.6017394377956885,44,128,11130070.5,2.94
412,227,55.09708737864078,10,43.44066741766305,140.00839211892713,200.00992524348143,221,53.640776699029125,6.721641596474916,11.055767177603819,21.066611219139368,24.82343521021086,0.49614399492963196,45,121,11483187.3,2.8133333333333335
431,254,58.932714617169374,10,50.83920036495971,160.02012349435734,420.0159907655474,245,56.84454756380511,6.50411564694882,10.89410045853996,20.09499857710681,24.71710341795509,0.5371478738676245,46,111,11807138.100000001,2.7466666666666666
372,196,52.68817204301075,10,43.081275776404325,177.25919074737266,270.01142087983817,183,49.193548387096776,6.981755239356718,11.383303286041643,22.630922216453143,25.771957218520434,0.4927103649406604,47,136,12188448.3,2.8733333333333335
420,239,56.904761904761905,10,49.41833177687678,150.51849756080543,444.3083370550565,231,55.0,6.861113080348368,11.188919733908282,19.888034792054352,24.032948378783512,0.616641903800664,48,114,12536643.3,2.48
393,222,56.48854961832061,10,48.39612337951154,150.01356992522616,332.4166008369199,212,53.9440203562341,7.430199709187445,11.899460936481718,22.845472900336727,26.038728212351387,0.5821899449268305,49,135,12880839.0,2.8
415,250,60.24096385542169,10,53.66937805659929,184.51330813800573,317.2190836659223,248,59.75903614457831,7.142929363588787,11.546731298088261,19.514503355697244,24.00933470418481,0.5449515299855394,50,103,13212074.7,2.62
399,227,56.8922305764411,10,47.01093929994524,150.0161542035715,361.2091450986049,216,54.13533834586466,6.6173621718609805,10.939299945234676,21.772580232731915,24.827288932716126,0.6130942175986113,51,122,13540738.5,2.7666666666666666
386,221,57.25388601036269,10,50.037124927556434,178.76091531720002,274.51037913869794,216,55.95854922279793,6.795350364246956,11.218191805132935,19.773219735990903,24.517097641534054,0.604326577609471,52,112,13846344.3,2.66
397,218,54.91183879093199,10,55.80208658660056,200.01071736080732,361.61093636323704,208,52.39294710327456,6.837831608659985,11.154596676122809,20.675509822399302,24.13378076277431,0.6207208098737105,53,130,14246435.100000001,2.5733333333333333
444,252,56.75675675675676,10,46.75642785093391,158.5224628760713,267.1140261641275,241,54.27927927927928,6.689151968256181,10.932355438410681,20.70799524521865,25.190036576484225,0.5655269750807291,54,145,14676018.600000001,2.6466666666666665
384,214,55.729166666666664,10,45.64146361742138,134.25769753850653,271.71451559264915,208,54.166666666666664,6.956669040013385,11.255284088042094,21.447592249409865,24.645390228922334,0.575651633813779,55,115,15010402.200000001,2.96
409,228,55.74572127139364,10,48.32677359314336,200.013742569201,346.0160056771913,223,54.52322738386308,6.9613256411349775,11.370170160473059,19.637761488433952,23.297460815397947,0.6209961323497651,56,115,15341847.600000001,2.56
359,219,61.00278551532033,10,63.070026450387644,241.01667203429565,366.31257990575693,212,59.05292479108635,7.143336261520911,11.530628660619652,19.705305147215462,24.28885062447623,0.6488669926241808,57,84,15611678.400000002,2.7266666666666666
416,258,62.01923076923077,10,56.96593429677441,217.51430944754904,420.01581809899324,252,60.57692307692308,7.208268692447993,11.607373697492308,20.059279977426396,25.38674663629522,0.5407664887170449,58,98,15924094.500000002,2.3933333333333335
402,232,57.711442786069654,10,51.207560039243056,210.01458708009181,300.0111955836733,229,56.96517412935324,6.666320672848275,11.042626307730877,18.79817171822379,23.487950650474392,0.5506021130714776,59,103,16243206.300000003,2.7733333333333334
394,235,59.64467005076142,10,53.09569576154865,185.26289122205122,300.0138717136791,230,58.3756345177665,7.476824584378526,11.93941637097591,19.49298401920048,24.162002890795705,0.6805184790472119,60,106,16546638.600000003,2.68
421,241,57.24465558194775,10,45.97748522545614,150.0092930841834,208.01253527496075,234,55.581947743467936,6.379087243577976,10.739382225738952,19.54092924074859,22.463887611127923,0.5700609788459249,61,135,16903240.800000004,2.6266666666666665
396,217,54.7979797979798,10,46.08440717598432,180.00779920881354,300.01222078776703,208,52.525252525252526,6.800573458475376,11.174852751999948,20.73359697954896,24.032948378783512,0.5571684131672986,62,112,17253859.800000004,2.8066666666666666
436,265,60.77981651376147,10,58.30006102440625,213.76133030789825,420.01508735640317,258,59.174311926605505,6.7533187307476945,11.070198718167642,19.027314891605567,24.43439341002056,0.6054174655496809,63,116,17603209.200000003,2.64
382,213,55.75916230366492,10,49.27827990952462,180.01956214076068,325.9651872706142,204,53.403141361256544,6.926866239079744,11.264202718336234,19.525585149513542,24.310326559143125,0.5426963047004252,64,118,17944137.6,2.9066666666666667
438,263,60.045662100456624,10,57.552259960047465,201.5176266577422,446.31379764418796,259,59.1324200913242,6.8828522514831425,11.164069636505776,19.237789913326832,24.761897791696004,0.5923950787322776,65,114,18287812.5,2.546666666666667
398,221,55.527638190954775,10,44.78491430319008,175.00783188573445,300.0172845008226,214,53.768844221105525,6.781997441204883,11.044956456406382,22.09720273173552,25.39305462906165,0.5020588027440921,66,123,18614324.7,2.92
405,245,60.49382716049383,10,52.79146156142576,208.01856834755304,398.4165336066342,241,59.50617283950617,6.992128429514132,11.214647845516117,19.111895363354577,24.650223451980562,0.6223769321039472,67,104,18923709.599999998,2.6533333333333333
448,280,62.5,10,60.32338615160195,246.50981410854217,360.01352626606854,276,61.607142857142854,6.660741679711763,10.886151601952921,19.02229101733636,24.403652874711995,0.5948240286819048,68,104,19267310.099999998,2.7
417,243,58.273381294964025,10,42.19565405013276,176.01648509862727,300.01192857720685,236,56.594724220623505,6.624847256156828,11.001771955301974,21.09466508353387,24.76825258747075,0.6054972358936024,69,115,19594388.099999998,2.986666666666667
422,240,56.872037914691944,10,47.32191467000213,174.2629215384065,295.8093507753131,227,53.791469194312796,7.166215127031889,11.48812971776607,21.739669366057395,25.26926051854362,0.5393629927323433,70,122,19953177.299999997,2.78
433,265,61.20092378752887,10,50.93270911530768,200.00846089053175,313.61548633642843,258,59.584295612009235,6.870037145601749,11.231055261492118,18.869362502336365,24.983061334170767,0.5854715656176651,71,113,20280292.199999996,2.8133333333333335
378,209,55.29100529100529,10,47.62781042723007,200.016506612625,411.5138306163171,203,53.7037037037037,7.082679319218456,11.408310827952153,20.785633167926473,25.18295384390243,0.5984826922734494,72,105,20578064.999999996,2.8866666666666667
422,252,59.71563981042654,10,55.43571496929573,210.01720105830248,489.5141671295354,244,57.81990521327014,7.218692987986062,11.544353181987157,21.021529394032214,24.692687404760882,0.6142361986019275,73,108,20930241.899999995,2.52
447,265,59.2841163310962,10,45.03143258105523,175.00954710360793,286.20781738491786,255,57.04697986577181,6.929070629113951,11.2983528673077,21.058346634116162,24.650556119148227,0.597142941295244,74,132,21302543.399999995,2.8133333333333335
394,222,56.34517766497462,10,41.34640516941808,140.0169898743625,242.1105916373867,218,55.32994923857868,7.001858975726196,11.379788707420527,19.36477788664643,24.662633872298223,0.5821893684371858,75,116,21612564.299999993,2.98
375,208,55.46666666666667,10,49.568743259300554,176.51411820025825,352.60759407334893,199,53.06666666666667,7.03574986478138,11.40992596722838,21.44201453033516,24.965897661645602,0.5973564647302803,76,120,21954530.399999995,2.6266666666666665
474,296,62.447257383966246,10,52.46721997813349,187.0131070935629,413.50755150869304,288,60.75949367088607,7.1170616964876965,11.523775601849188,20.741402625531656,25.38674663629522,0.6461822180302652,77,119,22318811.999999996,2.5
422,246,58.29383886255924,10,57.18934527531172,224.2566158189779,391.61952329211596,239,56.63507109004739,7.183280147244825,11.62015682830626,21.74996005432562,24.105850912597994,0.6230993472296829,78,117,22682294.099999998,3.16
432,252,58.333333333333336,10,42.48570351192634,144.51580477536416,240.01565091037853,243,56.25,6.879177808934183,11.166474889300822,20.51291244162461,23.525629994387465,0.5307557994498855,79,131,23047919.099999998,2.8133333333333335
444,266,59.909909909909906,10,56.39209179208638,222.7677184408914,360.009903896543,257,57.88288288288288,7.065005353192919,11.461161455754535,19.720588611422162,23.78823739712686,0.642478513425087,80,112,23401542.9,2.88
421,225,53.44418052256532,10,40.78303501793037,150.00625618472924,234.01235173321405,216,51.30641330166271,6.7348416908741395,11.063521493305752,21.34203954086951,24.612500781062202,0.5435300057257767,81,143,23787634.799999997,2.96
395,215,54.43037974683544,10,43.274639731142564,153.01781607334885,270.0167727393226,205,51.89873417721519,7.057520173364809,11.348591902055116,21.819580485166917,24.792255091759163,0.5377605369477724,82,114,24110877.9,2.8066666666666666
343,177,51.60349854227405,10,37.827930734941845,125.00936466593556,227.41235296709232,171,49.85422740524781,7.2391164513050885,11.604204329594374,20.51291244162461,24.28838225589924,0.5417549526249923,83,115,24414306.0,2.6333333333333333
353,193,54.67422096317281,10,44.39996176509119,144.0107585843982,280.0181459312046,187,52.97450424929178,7.4313528558489805,11.85978208835425,19.82529623988366,24.69186387943616,0.5393562358206668,84,107,24697203.9,2.2866666666666666
333,163,48.948948948948946,10,38.46496438449762,128.01350535977554,293.6094651627701,154,46.246246246246244,7.122671067707316,11.510931044170464,21.59526901871876,24.81322653526942,0.47365262778078493,85,127,25012362.299999997,2.3533333333333335
374,191,51.06951871657754,10,42.67770125892314,150.00753859169464,255.4118453980289,183,48.93048128342246,7.487681826831697,11.925857853625201,22.824636787308734,24.827288932716126,0.5441059878953218,86,126,25347890.4,2.22
313,147,46.96485623003195,10,38.397980686839574,120.01694252989948,294.0145687230692,139,44.40894568690096,7.013635475809368,11.399217191012944,21.59526901871876,24.36327616123025,0.4567621381209252,87,128,25655891.099999998,2.493333333333333
308,156,50.64935064935065,10,45.411373169630465,150.01506655346589,397.2172295992605,149,48.37662337662338,7.6456441861799,12.02252027981573,21.642033150954436,25.748816688672854,0.5360194338246855,88,116,25966655.7,2.0866666666666664
318,181,56.918238993710695,10,48.35800878441478,180.01109524251382,279.1562046993784,179,56.289308176100626,7.674830462108464,12.096834729240555,19.486314163163783,23.288381886380318,0.6331660624231201,89,86,26211847.8,2.0533333333333332
292,151,51.71232876712329,10,51.85463722234414,240.01513521585488,365.4139902871383,144,49.31506849315068,7.767732541587423,12.171468919472352,20.615733024382777,25.59701306184297,0.5409131351175791,90,96,26493836.1,2.12
362,207,57.18232044198895,10,54.01447608265106,199.7505199569894,353.91431384460856,204,56.353591160220994,7.302904691829918,11.713651711826431,19.930419212802207,24.650556119148227,0.5790674784362774,91,104,26787263.700000003,1.9466666666666668
826,613,74.21307506053269,10,62.09361932334242,200.0189948655714,442.5066821979454,605,73.24455205811138,6.912844537655519,11.29486813660608,20.550417173416367,24.57249862027503,0.450111898963022,92,124,27294984.6,2.4133333333333336
303,153,50.495049504950494,10,41.952315353079754,173.51483834069512,280.01779257116556,146,48.18481848184818,7.317798269480035,11.721293673810386,21.688797283190112,24.638294874428787,0.452532122586118,93,116,27577782.3,5.506666666666667
