total_requests,slow_requests,E_pct,servers_on,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,avg_load_balance_cv,cycle,total_replicas,cumulative_energy_joule,server_utilization
431,237,54.988399071925755,10,40.05220866519213,125.01361031495622,180.00818336688397,228,52.90023201856148,6.093899221366473,10.445324124848815,20.09499857710681,24.71710341795509,0.5188856323995673,46,142,13216538.1,2.7466666666666666
372,190,51.075268817204304,10,39.586466757523795,150.01112001930193,250.0089501811728,177,47.58064516129032,6.818777485553703,11.197940319493755,22.630922216453143,25.771957218520434,0.47082191619496344,47,147,13607748.299999999,2.8733333333333335
420,226,53.80952380952381,10,40.75138375331397,135.7570024677002,232.4098345967883,218,51.904761904761905,6.598500161015759,10.90756283776905,19.572050467092286,24.032948378783512,0.5338293364200654,48,150,13988343.299999999,2.48
393,217,55.216284987277355,10,42.82344100020635,150.00692434285966,210.00668315553082,207,52.67175572519084,7.287283148932742,11.736165600743794,22.845472900336727,26.038728212351387,0.5226674361380815,49,150,14346038.999999998,2.8
415,210,50.602409638554214,10,37.39124347165943,121.5126846617726,179.30883129849056,208,50.12048192771084,6.185140280398417,10.520580093161518,19.3364167644517,24.00933470418481,0.4842930772585933,50,150,14719574.699999997,2.62
399,218,54.636591478696744,10,42.19877025100472,141.0137943395357,241.20804085090813,207,51.8796992481203,6.487646841016988,10.800326192684006,21.772580232731915,24.827288932716126,0.6232154844706352,51,150,15073438.499999998,2.7666666666666666
386,208,53.8860103626943,10,44.28556915555012,150.00933685261012,228.76164773738878,203,52.590673575129536,6.5522653216211735,10.957756586390174,19.595629583598306,24.517097641534054,0.6274833280431442,52,141,15405144.299999999,2.66
397,213,53.65239294710327,10,51.94806673920656,200.00596677464802,300.8121154403488,203,51.13350125944584,6.7299652813091795,11.039031397999828,20.675509822399302,24.13378076277431,0.594677771694519,53,139,15813335.1,2.5733333333333333
444,246,55.4054054054054,10,44.05359735717213,150.0092212254809,227.10960674369187,235,52.927927927927925,6.569874340634442,10.804564379342487,20.70799524521865,25.190036576484225,0.5596450734450149,54,150,16247418.6,2.6466666666666665
384,196,51.041666666666664,10,39.68260370178226,124.25852585234797,183.40904450726893,190,49.479166666666664,6.474890319794536,10.728701782262192,21.447592249409865,24.645390228922334,0.5311003523802015,55,150,16613302.2,2.96
