ServiceID,total_requests,slow_requests,E_pct,n_replicas,avg_response_time_sec,p95_response_time_sec,p99_response_time_sec,deadline_violations,deadline_violation_rate_pct,avg_distance_km,avg_network_delay_ms,p95_network_delay_ms,p99_network_delay_ms,cycle,servers_on
8,13,10.0,76.92307692307692,3,90.40099754697954,185.01388188315659,197.01434141821034,10,76.92307692307692,11.55726357063401,16.38216236413796,28.445615556245862,29.50880746129649,3,4
9,8,4.0,50.0,3,78.76384815736373,139.50935251239804,147.9080572776852,4,50.0,9.192073806692152,13.848157363720834,23.525957830976054,27.37974117295847,3,4
10,7,5.0,71.42857142857143,3,74.30734036532682,120.01697446616788,120.01884009637344,2,28.571428571428573,16.45183141751607,21.62607961254056,33.445330566950055,34.847392485710635,3,4
11,8,4.0,50.0,3,106.26485780403341,182.5151325811357,196.51516820998393,3,37.5,10.134457885625974,14.857804033403651,22.70048800397308,25.94132465971088,3,4
12,5,2.0,40.0,3,108.0153542913072,168.0079971711869,177.6061610428405,1,20.0,10.597869211846596,15.354291307192588,21.06664908570713,21.809915196508914,3,4
13,2,0.0,0.0,3,105.01445473511333,136.5158173202099,139.31593843888513,0,0.0,9.758241388907873,14.45473511332925,15.81732020987976,15.938438885128694,3,4
14,6,5.0,83.33333333333333,3,180.01893158615243,270.01849241149444,270.0202853598825,4,66.66666666666667,13.936844923836118,18.931586152385716,24.00887836048581,24.729679116545334,3,4
15,2,2.0,100.0,3,150.0225154668235,150.02467043805737,150.02486199105593,0,0.0,17.281967714467044,22.51546682348286,24.670438057352477,24.861991055918665,3,4
1,21,16.0,76.19047619047619,4,4.777655326677137,10.01235930726715,10.813644055695024,15,71.42857142857143,10.967742966403817,15.750564772374931,22.750228822535373,26.39817138960571,4,5
2,27,21.0,77.77777777777777,4,10.535263372917404,20.010670190411084,21.494654041208296,21,77.77777777777777,11.89579308731044,16.74485439888496,26.989386262886175,29.133848851950823,4,5
3,19,17.0,89.47368421052632,4,21.068439562522308,44.415714353612486,47.29454746146285,15,78.94736842105263,11.021336532346828,15.807983574942147,23.154649719561554,25.853918675007066,4,5
4,22,16.0,72.72727272727273,4,29.289294155240306,56.023710684934436,61.54712175642467,15,68.18181818181819,11.729677676092502,16.566882513038866,26.191958361854333,27.294772951956467,4,5
5,24,19.0,79.16666666666667,4,55.85203599337698,108.5103140711183,110.01242811041077,18,75.0,13.723169856507274,18.702660043652116,27.622565568886213,27.993879781672675,4,5
6,16,12.0,75.0,4,53.452488681105336,108.75402440299726,117.76368297019067,11,68.75,10.95665098843289,14.988681105334194,25.273381864293523,27.9241293535604,4,5
7,21,15.0,71.42857142857143,4,146.44278428667727,325.0138620329787,345.0114722082346,15,71.42857142857143,9.710264890752851,14.21285810585277,20.46603385394325,22.29338982881695,4,5
8,7,2.0,28.571428571428573,4,39.30226776320946,67.51446639206176,73.51463242926779,1,14.285714285714286,11.717165699584362,16.553477495175155,24.735191264528023,26.795163878004235,4,5
9,10,6.0,60.0,4,72.01794983406928,136.52253879217432,147.32635588405998,4,40.0,13.020497096071278,17.949834069285398,25.616161130032395,26.97135785110511,4,5
10,6,4.0,66.66666666666667,4,140.01764482976918,230.0251800873827,238.02943420710906,4,66.66666666666667,12.735812161172332,17.644829769175846,27.90356636583425,29.97890290568192,4,5
11,5,2.0,40.0,4,70.01574085819001,100.01845423654314,100.01969970218556,1,20.0,10.958683035887704,15.740858190018935,20.765465112763525,20.91634441608079,4,5
12,3,1.0,33.333333333333336,4,80.01862521679719,114.01661799021086,118.81602473561546,0,0.0,13.650885873721231,18.62521679718523,22.633606369815375,23.160404801283825,4,5
13,3,1.0,33.333333333333336,4,93.3469196948909,133.02008836227066,138.6208488349405,1,33.333333333333336,8.947718818873687,13.586361557545482,20.088362270661992,20.848834940498577,4,5
14,1,0.0,0.0,4,90.00808223476896,90.00808223476896,90.00808223476896,0,0.0,3.8102765732406367,8.082234768965174,8.082234768965174,8.082234768965174,4,5
15,0,,0.0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,5
1,25,19.0,76.0,5,3.734229179129256,6.820765474085486,7.777820627094255,18,72.0,9.995734362231701,14.229179129256124,25.078551571861016,25.526765277438212,5,6
2,31,23.0,74.19354838709677,5,9.950547799218402,21.019053117763523,23.420422940375357,23,74.19354838709677,10.326850121899698,15.063928250661611,23.57575821628582,25.046461928504495,5,6
3,13,8.0,61.53846153846154,5,9.85836848995007,17.61203002793265,19.527027790292387,7,53.84615384615385,7.954578666790264,12.214643796225223,20.035352963203003,20.03654404427035,5,6
4,20,13.0,65.0,5,29.765459004179263,56.37525886148644,61.6985365589404,13,65.0,10.695606119683939,15.459004179267755,25.258861486434746,28.536558940405623,5,6
5,7,3.0,42.857142857142854,5,18.58689520994548,37.01279581002585,39.41238907624811,2,28.571428571428573,10.702731858285635,15.466638516911035,20.646692269106207,20.96050094018742,5,6
6,14,7.0,50.0,5,36.444941194005345,80.26148526733621,88.06141428377228,6,42.857142857142854,11.545692523043954,16.36976543392107,27.389680922093707,27.50783070259261,5,6
7,6,3.0,50.0,5,41.6823859210013,68.76686401899588,73.76401185811424,2,33.333333333333336,11.560771807651903,15.719254334635004,26.029445979536497,27.253587037536906,5,6
8,4,2.0,50.0,5,37.51880757322544,50.01991832458122,50.020874897571616,1,25.0,13.821093729435216,18.807573225436762,26.088062489285523,26.790277313295718,5,6
9,10,4.0,40.0,5,60.0156135358687,106.51681314391502,117.31319254302596,3,30.0,10.839842918743216,15.613535868704469,21.757068521169696,22.227107700726627,5,6
10,9,7.0,77.77777777777777,5,106.68543442540538,224.01793679468005,236.8214122039773,4,44.44444444444444,13.783931681021086,18.76775873869122,23.515820995202997,24.174362165126382,5,6
11,2,0.0,0.0,5,50.01589904505909,50.01844414853361,50.01867037995357,0,0.0,11.106331506769287,15.899045059090414,18.44414853360922,18.670379953566446,5,6
12,7,3.0,42.857142857142854,5,120.01635927873947,222.0129148665958,236.4138075011394,2,28.571428571428573,11.535904451455396,16.359278739479905,23.07052325298114,24.41060360169408,5,6
13,2,0.0,0.0,5,70.01607812354999,70.0163859677762,70.01641333170743,0,0.0,11.27347980108668,16.078123549987296,16.38596777620759,16.413331707427172,5,6
14,0,,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,6
15,0,,0.0,5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,6
1,21,14.0,66.66666666666667,5,3.824922083916457,9.018771668236118,9.818406407968284,13,61.904761904761905,10.638922147214407,15.398274392647203,24.168903743765657,25.311391198227508,6,7
2,20,14.0,70.0,5,6.315956704438066,12.017826384528673,12.017975161727504,14,70.0,11.16014962193674,15.9567044380656,21.9596588406778,24.72997840284961,6,7
3,21,12.0,57.142857142857146,5,15.251263631448065,36.00595756341665,39.218629349647024,12,57.142857142857146,9.090955666653526,13.168393352828957,21.797296204615606,23.13921380742398,6,7
4,14,6.0,42.857142857142854,5,16.514063219787158,30.464338549296727,34.101245851683515,6,42.857142857142854,9.392808786475738,14.063219787161431,20.00577632254347,20.097998737633098,6,7
5,15,9.0,60.0,5,30.014108841087317,63.0115906095175,68.6113687477032,9,60.0,9.43539079879751,14.10884108731934,21.10952037582361,21.94960828582175,6,7
6,20,14.0,70.0,5,45.76701123722496,75.77261091371177,87.16772073535071,13,65.0,12.144429508089926,17.011237224967804,23.13295148644795,26.177747300707477,6,7
7,5,2.0,40.0,5,55.01345901052073,95.02071340861211,99.0224383297446,2,40.0,9.575555955018265,13.459010520724842,21.884520501103136,22.672552122400088,6,7
8,11,4.0,36.36363636363637,5,52.2867798924917,87.51935061449592,97.52169496794046,4,36.36363636363637,9.382914936519148,14.052619764429393,19.460504599804686,21.716945961238263,6,7
9,9,4.0,44.44444444444444,5,46.68270845426494,78.01471110321044,87.61339642614082,1,11.11111111111111,11.239564547934537,16.04178759826446,24.181192696615533,24.63273749042096,6,7
10,10,5.0,50.0,5,96.01842607848388,182.0197908198611,196.415112046222,5,50.0,13.465014140970808,18.426078483885245,28.317894610799538,28.338128528923168,6,7
11,5,1.0,20.0,5,70.0180910311249,100.01789877184684,100.01873128975882,0,0.0,13.15228761367652,18.091031124891906,20.1004374277163,20.332641065896173,6,7
12,6,3.0,50.0,5,120.01927505975418,180.0264711366167,180.02877901396647,2,33.333333333333336,14.25743633820999,19.27505975416567,29.08873289800698,29.302533222720076,6,7
13,3,1.0,33.333333333333336,5,93.35218841734418,133.0150153490478,138.61390030253628,0,0.0,13.865439349642449,18.85508401085655,26.342068954045413,27.316111632438687,6,7
14,2,0.0,0.0,5,90.01635728739484,90.01667765587487,90.0167061330731,0,0.0,11.53404577005493,16.35728739483823,16.67765587487366,16.706133073099032,6,7
15,1,1.0,100.0,5,150.02416890374377,150.02416890374377,150.02416890374377,0,0.0,18.82525278238628,24.168903743765657,24.168903743765657,24.168903743765657,6,7
1,33,26.0,78.78787878787878,6,4.953197688545228,10.017539653979247,10.694622350539634,25,75.75757575757575,9.150624066275958,13.803749151288198,23.73898365686627,24.284567469177926,7,8
