id,BTSID,StartTime,EndTime,Lat,Long,ServiceID,ServiceResource,ServiceExecutionTime,startSec,user_id,month,date,weekday,only_date
188,505,2014-06-28 00:12:05,2014-06-28 00:12:45,31.151539,121.41109,10,10.0,40,722,181,201406,28,5,2014-06-28
189,906,2014-06-28 00:12:05,2014-06-28 00:12:06,31.199721,121.325753,1,0.2,1,722,35,201406,28,5,2014-06-28
190,188,2014-06-28 00:12:10,2014-06-28 00:12:11,31.273019,121.307617,1,0.2,1,727,1623,201406,28,5,2014-06-28
191,679,2014-06-28 00:12:17,2014-06-28 00:12:24,31.299261,121.578516,4,1.5,7,734,2127,201406,28,5,2014-06-28
192,79,2014-06-28 00:12:17,2014-06-28 00:12:57,31.307268,121.521916,10,10.0,40,734,3029,201406,28,5,2014-06-28
193,266,2014-06-28 00:12:25,2014-06-28 00:12:50,31.175318,121.181299,7,4.0,25,742,1479,201406,28,5,2014-06-28
194,534,2014-06-28 00:12:25,2014-06-28 00:13:15,31.211574,121.366182,11,11.0,50,742,7962,201406,28,5,2014-06-28
195,435,2014-06-28 00:12:28,2014-06-28 00:12:53,31.200882,121.446511,7,4.0,25,745,1376,201406,28,5,2014-06-28
196,293,2014-06-28 00:12:29,2014-06-28 00:13:59,31.143774,121.519955,14,15.0,90,746,2049,201406,28,5,2014-06-28
197,1080,2014-06-28 00:12:31,2014-06-28 00:12:41,31.160355,121.454785,5,2.0,10,748,679,201406,28,5,2014-06-28
198,720,2014-06-28 00:12:35,2014-06-28 00:12:42,31.183323,121.447822,4,1.5,7,752,2225,201406,28,5,2014-06-28
199,922,2014-06-28 00:12:46,2014-06-28 00:13:01,31.163393,121.381735,6,2.0,15,763,718,201406,28,5,2014-06-28
200,496,2014-06-28 00:12:47,2014-06-28 00:13:02,31.158559,121.319801,6,2.0,15,764,662,201406,28,5,2014-06-28
201,470,2014-06-28 00:12:52,2014-06-28 00:12:53,31.025763,121.541983,1,0.2,1,769,5211,201406,28,5,2014-06-28
202,601,2014-06-28 00:12:58,2014-06-28 00:13:00,31.281813,121.354285,2,0.5,2,775,7829,201406,28,5,2014-06-28
203,1293,2014-06-28 00:13:00,2014-06-28 00:13:25,31.265054,121.456413,8,7.0,25,777,2147,201406,28,5,2014-06-28
204,748,2014-06-28 00:13:02,2014-06-28 00:13:27,31.312825,121.491112,8,7.0,25,779,144,201406,28,5,2014-06-28
205,769,2014-06-28 00:13:04,2014-06-28 00:14:14,31.241036,121.374063,13,14.0,70,781,1445,201406,28,5,2014-06-28
206,660,2014-06-28 00:13:08,2014-06-28 00:13:09,31.250674,121.47282,1,0.2,1,785,74,201406,28,5,2014-06-28
