BCode,BTSID,Lat,Long
191,8ae6fddef25c6a91eaa173fd06b6cde3,30.731903,121.334173
192,0d79afcd45a15eed0ebe787e5c14e46b,31.285741,121.626244
193,ab98ef60390c62995ae370e149e38b31,31.273019,121.307617
194,853aaff70a28bfd7cad97f57753b440c,31.380093,121.517779
195,4f682ff53e5158fc99fbee1d68fe80f7,31.030308,121.650922
196,600895b7f5ef4290a417f05abc6ff7cf,31.082701,121.448694
197,0534bdb7997a44982ddf7698ee13ec35,31.307268,121.521916
198,fea5771cc3e1bcce2fe406589249aff5,31.285741,121.626244
199,2ee3a2833279a78ab0dbb567ea4e5bcb,30.716187,121.349498
200,e9fb54cba29086db61ab4ce7588dbb2e,31.268642,121.332479
201,50e716b9338a1111d283c32d606beb8d,31.232877,121.48753
202,7a8db7b1a2eb237f2570c32623fedfee,31.319501,121.584673
203,423e80212e576b682d6b119c5c5aa0a4,30.718302,121.314644
204,5980dff63610308b6246603c25880884,30.74139,121.380141
205,0e5c053c70484e07500558a4460cb908,31.247519,121.322265
206,052b6c524b131480b0a4800005cb144e,31.307268,121.521916
207,b0a0ae9bb02990782d43651b7aa9af7d,31.272151,121.375814
208,2f7d74cb9d215e2b7df4e187718759b5,31.202075,121.187355
209,9a1c60b591d76dbff1df5cc607f14807,31.235454,121.172523
210,2bb4312685eef570ac203467df166259,31.150797,121.728702
211,edeb8303358ffd1d9ae74f7eb16e4ad5,31.24822,121.296297
212,0dddb21de6c0058719e95677ebf55fbc,30.943662,121.155665
213,57c0460ea99d310361a5fa07662c5540,31.253601,121.4782
214,f7cf63a018f9da2e2218a72d6ca79898,31.236856,121.40554
215,91a31b6363cbf93b562dc98003c6def6,31.253601,121.4782
216,9faba45baade25cf24bca59d9c0e296d,31.188696,121.181232
217,def1ce1cd7eb1f1a96835e1ecacb6559,31.152177,121.172752
218,21f59b4a980c20da255bdaf11a94dd18,31.342336,121.605688
219,a73b431e6b9f8507e0187cb7ea33ad1e,31.254166,121.224476
220,577c57fc6197338c24c5b9d808e5bd58,31.360292,121.583955
221,b9912eaf7fdf22ef6ace48c3a792cfef,31.228014,121.477667
222,64aefbf40fae656942da28666c38bd79,31.05815,120.970188
223,32067beb92e4a528772adfef1ae04b3d,30.866289,121.103027
224,d5ec8ea29c81ddc4bf363b7e72ffa8a2,31.042021,121.204506
225,0cabed4378fcb849c79fab1dc8ba7c86,31.370654,121.459272
226,4d8d3f5c97f130b20bd91dc243f669c2,31.109666,121.052906
227,5ffe3821c24673d3440e8f58da37508b,31.144812,121.119606
228,b046645481ffbd686b31227500eecbc4,31.312192,121.456456
229,ad3e08558dd87c168bb1a2a3b35992c4,31.119557,121.036331
230,b7819940e64f9e6628ff74fa32a7a8c7,31.414397,121.481621
231,6b1b57d67f6d67b7bee4549449ce7d79,31.349748,121.506246
232,b5a3510406b303f1a1f669bb877868e1,31.319806,121.526248
233,4e9d521372689ddc54bb0d19061a003a,30.898595,121.030128
234,f9b647d44faf6a2c799dc66b4cfe476c,31.387987,121.495216
235,ced45ef4038edd087f334f8ecab6f82b,31.16691,121.115166
236,54a14cb66222d323646649ca2c2a73d9,31.255582,121.363523
237,b03ba4959437798f743d0980cbfec146,31.292661,121.305822
